AJ CAPITAL COMPLIANCE REPORT (Sorted by Highest Premium Cash Flow Yield & Safety Filters)
--------------------------------------------------------------------------------------------------------------------------------------------------------
SYMBOL   | TRADE STRATEGY | STOCK SPOT PRICE | SHORT PUT STRIKE | LONG PUT STRIKE | NET CREDIT COLLECTED | CASH FLOW YIELD %  | RETURN ON RISK % (ROR)   | RULE STATUS
--------------------------------------------------------------------------------------------------------------------------------------------------------
B        | Bull Put       | $40.47           | 40.0             | 35.0            | $0.95                |             2.35% |                  23.46% | ✅
NKE      | Bull Put       | $42.48           | 42.5             | 37.5            | $0.95                |             2.24% |                  23.46% | ✅
NVO      | Bull Put       | $44.09           | 42.5             | 37.5            | $0.95                |             2.15% |                  23.46% | ✅
VZ       | Bull Put       | $46.90           | 45.0             | 40.0            | $0.95                |             2.03% |                  23.46% | ✅
BAC      | Bull Put       | $50.73           | 50.0             | 45.0            | $0.95                |             1.87% |                  23.46% | ✅
STM      | Bull Put       | $60.11           | 60.0             | 55.0            | $0.95                |             1.58% |                  23.46% | ✅
D        | Bull Put       | $66.93           | 65.0             | 60.0            | $0.95                |             1.42% |                  23.46% | ✅
UBER     | Bull Put       | $74.63           | 72.5             | 67.5            | $0.95                |             1.27% |                  23.46% | ✅
HOOD     | Bull Put       | $76.30           | 75.0             | 70.0            | $0.95                |             1.25% |                  23.46% | ✅
NEE      | Bull Put       | $88.05           | 87.5             | 82.5            | $0.95                |             1.08% |                  23.46% | ✅
NFLX     | Bull Put       | $89.45           | 87.5             | 82.5            | $0.95                |             1.06% |                  23.46% | ✅
CRWV     | Bull Put       | $101.19          | 100.0            | 95.0            | $0.95                |             0.94% |                  23.46% | ✅
NOW      | Bull Put       | $102.93          | 100.0            | 95.0            | $0.95                |             0.92% |                  23.46% | ✅
INTC     | Bull Put       | $106.48          | 105.0            | 100.0           | $0.95                |             0.89% |                  23.46% | ✅
CSCO     | Bull Put       | $117.84          | 115.0            | 110.0           | $0.95                |             0.81% |                  23.46% | ✅
RKLB     | Bull Put       | $127.93          | 125.0            | 120.0           | $0.95                |             0.74% |                  23.46% | ✅
WMT      | Bull Put       | $133.08          | 130.0            | 125.0           | $0.95                |             0.71% |                  23.46% | ✅
BABA     | Bull Put       | $133.31          | 130.0            | 125.0           | $0.95                |             0.71% |                  23.46% | ✅
PLTR     | Bull Put       | $133.53          | 130.0            | 125.0           | $0.95                |             0.71% |                  23.46% | ✅
XOM      | Bull Put       | $160.35          | 157.5            | 152.5           | $0.95                |             0.59% |                  23.46% | ✅
MSTR     | Bull Put       | $164.78          | 162.5            | 157.5           | $0.95                |             0.58% |                  23.46% | ✅
MRVL     | Bull Put       | $166.76          | 162.5            | 157.5           | $0.95                |             0.57% |                  23.46% | ✅
GLW      | Bull Put       | $175.85          | 172.5            | 167.5           | $0.95                |             0.54% |                  23.46% | ✅
CRM      | Bull Put       | $178.97          | 175.0            | 170.0           | $0.95                |             0.53% |                  23.46% | ✅
ORCL     | Bull Put       | $184.38          | 180.0            | 175.0           | $0.95                |             0.52% |                  23.46% | ✅
QCOM     | Bull Put       | $201.17          | 195              | 190             | $0.95                |             0.47% |                  23.46% | ✅
TSM      | Bull Put       | $392.56          | 385              | 380             | $1.85                |             0.47% |                  58.73% | ✅
GOOG     | Bull Put       | $393.40          | 385              | 380             | $1.85                |             0.47% |                  58.73% | ✅
TSLA     | Bull Put       | $407.95          | 400              | 395             | $1.85                |             0.45% |                  58.73% | ✅
AMD      | Bull Put       | $413.26          | 405              | 400             | $1.85                |             0.45% |                  58.73% | ✅
AVGO     | Bull Put       | $417.20          | 410              | 405             | $1.85                |             0.44% |                  58.73% | ✅
MSFT     | Bull Put       | $422.27          | 415              | 410             | $1.85                |             0.44% |                  58.73% | ✅
NVDA     | Bull Put       | $220.00          | 215              | 210             | $0.95                |             0.43% |                  23.46% | ✅
META     | Bull Put       | $611.56          | 600              | 595             | $2.40                |             0.39% |                  92.31% | ✅
MU       | Bull Put       | $664.27          | 650              | 645             | $2.40                |             0.36% |                  92.31% | ✅
AMZN     | Bull Put       | $263.74          | 260              | 255             | $0.95                |             0.36% |                  23.46% | ✅
AAPL     | Bull Put       | $296.90          | 290              | 285             | $0.95                |             0.32% |                  23.46% | ✅
SNDK     | Bull Put       | $1301.96         | 1275             | 1270            | $2.40                |             0.18% |                  92.31% | ✅
